"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"MH18,MH17,MH12,MH15,MH14,MH16,MH13,MH11";"MountingHole_3.2mm_M3";8;"MountingHole_Pad";;;
2;"SW23,SW35,SW34,SW33,SW32,SW27,SW26,SW25,SW24,SW22,SW21,SW17,SW16,SW15,SW14,SW13,SW12,SW11,SW36";"SWITCH_THT_RACON_12";19;"SW_Push_45deg";;;
3;"R811,R821,R831,R841,R851,R701,R761,R751,R741,R731,R721,R711,R661,R611,R631,R641,R651,R621,R601";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";19;"120R";;;
4;"D834,D811,D814,D821,D822,D823,D824,D831,D832,D833,D812,D841,D842,D843,D844,D851,D852,D853,D813,D854,D764,D712,D713,D714,D721,D722,D723,D724,D731,D732,D733,D662,D663,D763,D762,D761,D754,D753,D711,D741,D742,D734,D744,D704,D752,D751,D743,D661,D702,D701,D664,D703,D604,D602,D601,D633,D641,D643,D644,D651,D652,D653,D654,D603,D634,D632,D631,D624,D623,D622,D642,D621,D614,D613,D612,D611";"LED_D1.8mm_W3.3mm_H2.4mm_user";76;"LED";;;
5;"D561,D562,D563,D564,D565,D571,D572,D573,D574,D575,D525,D513,D514,D515,D521,D522,D523,D524,D531,D504,D533,D534,D535,D541,D543,D511,D512,D542,D505,D502,D501,D503,D544,D545,D551,D552,D553,D554,D555,D532,D57,D55,D54,D53,D51,D52,D56,D67,D66,D65,D68,D78,D77,D76,D75,D74,D73,D72,D71,D64,D63,D62,D61,D58,D34,D45,D35,D36,D37,D38,D41,D42,D43,D44,D46,D47,D48,D33,D22,D21,D23,D24,D25,D26,D27,D28,D31,D32,D18,D11,D12,D13,D14,D15,D16,D17,D412,D216,D215,D214,D213,D212,D211,D204,D203,D202,D201,D413,D425,D424,D423,D422,D421,D420,D419,D417,D416,D415,D414,D418,D320,D319,D318,D317,D316,D315,D314,D313,D311,D304,D321,D302,D301,D225,D224,D223,D222,D221,D220,D219,D218,D303,D104,D103,D217,D102,D101,D312,D411,D325,D324,D323,D322";"LED_Rectangular_W5.0mm_H2.0mm";153;"LED";;;
6;"R1,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"3K3";;;
7;"C1";"CP_Radial_D8.0mm_P3.50mm";1;"47uF";;;
8;"C12,C13,C11";"C_Disc_D4.3mm_W1.9mm_P5.00mm";3;"100n";;;
9;"D2,D3,D1";"D_DO-35_SOD27_P10.16mm_Horizontal";3;"1N4148";;;
10;"U1";"DIP-38_900_ESP32";1;"ESP32-Modul";;;
11;"U401,U102,U103,U104,U105,U201,U202,U203,U204,U205,U101,U301,U302,U303,U304,U305,U402,U403,U404,U405,U406";"SC56-11";21;"SC56-11";;;
12;"U106,U300,U200,U400,U100";"HT16K33_Modul";5;"HT16K33_Modul";;;
